attendance,assignment,quiz,mid_exam,final_exam,study_hours,final_score
85,78,80,75,82,3.5,79.2
92,88,90,85,88,4.5,87.8
70,65,68,60,65,2.0,65.4
95,92,94,90,93,5.0,92.6
60,55,58,50,55,1.5,55.8
88,85,82,80,84,4.0,83.5
75,70,72,68,70,2.5,71.0
98,95,96,92,95,6.0,95.2
55,50,52,48,50,1.0,51.0
82,80,78,76,79,3.0,78.5
90,87,85,88,86,4.2,86.8
65,60,62,58,60,2.2,61.5
78,75,74,72,76,3.2,75.0
88,90,88,85,87,4.8,87.2
72,68,70,65,68,2.8,68.5
91,89,87,86,88,4.6,88.5
68,64,66,62,64,2.1,64.8
80,77,79,74,78,3.3,77.2
94,91,93,89,92,5.2,92.1
58,53,55,49,52,1.2,53.5
86,83,81,79,83,3.8,82.4
73,69,71,66,69,2.6,69.8
96,94,95,91,94,5.5,94.8
62,57,59,52,56,1.8,57.2
84,82,80,77,81,3.6,80.8
77,73,75,70,73,2.9,73.5
89,86,84,83,85,4.1,85.2
67,63,65,59,61,2.0,62.8
81,78,76,75,77,3.1,76.8
93,90,92,88,91,4.9,91.5
56,51,53,47,51,1.0,50.5
87,84,82,81,84,3.9,83.8
74,70,72,67,71,2.7,70.5
97,95,96,93,95,5.8,95.5
61,56,58,51,54,1.6,56.0
83,81,79,78,80,3.4,79.8
76,72,74,69,72,2.8,72.2
90,88,86,85,87,4.3,86.5
66,62,64,57,59,1.9,61.2
79,76,74,73,75,3.0,75.5
92,89,91,87,90,4.7,89.8
59,54,56,50,53,1.4,54.2
85,82,80,78,82,3.7,81.5
71,67,69,64,67,2.4,67.8
95,93,94,90,93,5.3,93.2
63,58,60,53,57,1.7,58.5
82,79,77,76,78,3.2,78.0
78,74,76,71,74,2.9,74.2
88,85,83,82,84,4.0,84.2
69,65,67,61,63,2.1,63.5
80,77,75,74,76,3.1,76.2
